repeat,no_households,algorithm,Average run_time,No_iterations,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
0,20,optimal,1.729,7,5,0,piece-wise,25300,186108.0,-6.356,3.49,25.68,-6.358,13018394.0,76386786.0,-4.868,13018394.0,76386786.0,-4.868
0,20,optimal_fw,0.001,7,5,0,piece-wise,25300,19867.795906828876,0.215,3.49,2.74,0.215,13018394.0,4909056.75,0.623,13018394.0,4909056.75,0.623
0,20,heuristic,0.001,5,5,0,piece-wise,25300,26554.0,-0.05,3.49,3.66,-0.049,13018394.0,11516288.8,0.115,13018394.0,11516288.8,0.115
0,20,heuristic_fw,0.001,5,5,0,piece-wise,25300,12893.543483943544,0.49,3.49,1.78,0.49,13018394.0,4869312.02,0.626,13018394.0,4869312.02,0.626
0,40,optimal,3.692,10,5,0,piece-wise,57750,416860.0,-6.218,3.06,22.11,-6.225,38289260.0,197742494.8,-4.164,38289260.0,197742494.8,-4.164
0,40,optimal_fw,0.001,10,5,0,piece-wise,57750,43038.93925856938,0.255,3.06,2.28,0.255,38289260.0,12744520.24,0.667,38289260.0,12744520.24,0.667
0,40,heuristic,0.001,8,5,0,piece-wise,57750,48700.0,0.157,3.06,2.58,0.157,38289260.0,14552526.6,0.62,38289260.0,14552526.6,0.62
0,40,heuristic_fw,0.001,8,5,0,piece-wise,57750,29500.388772647264,0.489,3.06,1.56,0.49,38289260.0,12671372.04,0.669,38289260.0,12671372.04,0.669
0,60,optimal,5.438,14,5,0,piece-wise,62817,359442.0,-4.722,2.68,15.32,-4.716,30156937.5,241598262.1,-7.011,30156937.5,241598262.1,-7.011
0,60,optimal_fw,0.001,14,5,0,piece-wise,62817,47823.381213210094,0.239,2.68,2.04,0.239,30156937.5,15844341.52,0.475,30156937.5,15844341.52,0.475
0,60,heuristic,0.002,7,5,0,piece-wise,62817,54627.0,0.13,2.68,2.33,0.131,30156937.5,20204279.8,0.33,30156937.5,20204279.8,0.33
0,60,heuristic_fw,0.001,7,5,0,piece-wise,62817,35202.809546454264,0.44,2.68,1.5,0.44,30156937.5,15764941.41,0.477,30156937.5,15764941.41,0.477
